job_title,company_name,city,province,experience,years_of_exp,skills
Science HOD,Sama International College -,"Shorouk City, Cairo, Egypt",Cairo,Experienced,5 - 15 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Data Scientist,Lumin -,"Sheikh Zayed, Giza, Egypt",Giza,Experienced,3+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
"Information Security Lead - Privacy, Risk & Access Management",Alshaya -,"Nasr City, Cairo, Egypt",Cairo,Experienced,5 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Business Data Analyst,ENAYA CARE INTERNATIONAL COMPANY FOR BEAUTY & COMFORT -,"Cairo, Egypt",Egypt,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Data Analyst,Misr International Hospital -,"Dokki, Giza, Egypt",Giza,Experienced,2+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Data Scientist,Egabi FSI  -,"Sheraton, Cairo, Egypt",Cairo,Entry Level,1 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Data Analyst,Eltawheed -,"10th of Ramadan City, Sharqia, Egypt",Sharqia,Entry Level,1 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Data Analyst,Kirmena Jewellery -,"Obour City, Cairo, Egypt",Cairo,Entry Level,1 - 3 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Q.A IPC Officer,APEX Pharma -,"Badr City, Cairo, Egypt",Cairo,Experienced,2 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Power BI Analyst / Developer,eVision -,"New Cairo, Cairo, Egypt",Cairo,Experienced,2 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Senior Data Engineer,Creo Technologies -,"Maadi, Cairo, Egypt",Cairo,Experienced,3 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Call Center Agent - B1 English Speakers - New Account /Smart Village,Etisalat Egypt -,"Maadi, Cairo, Egypt",Cairo,Entry Level,0 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
ML Data Engineer,Confidential -,"Cairo, Egypt",Egypt,Experienced,7 - 10 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
BI Analyst,Confidential -,"6th of October, Giza, Egypt",Giza,Experienced,2 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Data Governance and Classification Expert – Media Content,Global Solutions - GS Oman -,"Muscat, Oman",Oman,Manager,5 - 12 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Business Data and Media Archive Analyst,Global Solutions - GS Oman -,"Muscat, Oman",Oman,Manager,3 - 8 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
AI Engineer - Travel Tech,Rahala -,"Mohandessin, Giza, Egypt",Giza,Experienced,2+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
IT Supervisor,Outservingplus -,"Maadi, Cairo, Egypt",Cairo,Manager,5 - 10 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Software Engineer (AI & Data Analytics),Confidential -,"Maadi, Cairo, Egypt",Cairo,Experienced,3 - 6 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Data Engineer Team Lead,COB Solution  -,"Maadi, Cairo, Egypt",Cairo,Manager,4 - 6 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL']"
Digital Merchandiser,Minlo -,"Heliopolis, Cairo, Egypt",Cairo,Experienced,4 - 7 Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Data Analyst,Carina Wear -,"New Cairo, Cairo, Egypt",Cairo,Entry Level,1+ Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Senior Data Analyst,Xceed Contact Center -,"Cairo, Egypt",Egypt,Experienced,3+ Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Data Analyst,Helal Group -,"New Cairo, Cairo, Egypt",Cairo,Experienced,3 - 5 Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Data Analyst,New Egypt Gold -,"Qalubia, Egypt",Egypt,Entry Level,1 - 3 Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Senior Power BI Developer,BI-Technologies -,"New Cairo, Cairo, Egypt",Cairo,Experienced,2 - 5 Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Data Science Intern,Mozn -,"Riyadh, Saudi Arabia",Saudi Arabia,Not specified,Data Entry,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Senior Full stack Developer (.Net Core & Angular),BI-Technologies -,"New Cairo, Cairo, Egypt",Cairo,Experienced,3 - 6 Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
BI DWH Extraction,Efada Technology -,"6th of October, Giza, Egypt",Giza,Experienced,2 - 5 Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Senior IT Infrastructure Security Engineer,Arab Otsuka Nutraceuticals   -,"10th of Ramadan City, Cairo, Egypt",Cairo,Experienced,6 - 8 Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Senior OBIEE Developer,Egabi FSI  -,"Sheraton, Cairo, Egypt",Cairo,Experienced,1 - 4 Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Senior Power BI Developer (GeoLocation Specialist),Madar Soft -,"Fleming, Alexandria, Egypt",Alexandria,Experienced,3 - 3 Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Principal (Director) Data Science Consultant Practice Lead,EPAM Systems -,"Riyadh, Saudi Arabia",Saudi Arabia,Manager,Computer Science,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Network Instructor,MICA -,"Haram, Giza, Egypt",Giza,Entry Level,0 - 1 Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Backend Developer,nichepharma -,"Sheikh Zayed, Giza, Egypt",Giza,Student,0 - 1 Yrs of Exp,"['Marketing/PR/Advertising', 'Digital Marketing', 'E-Commerce', 'Marketing', 'Web Merchandising', 'Computer Science', 'Data Analysis', 'digital marketing']"
Flutter Developer,nichepharma -,"Sheikh Zayed, Giza, Egypt",Giza,Student,0 - 1 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
Oracle Apps Developer,Confidential -,"Cairo, Egypt",Egypt,Experienced,5 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
ERP Implementation Specialist,LavaLoon -,"Nasr City, Cairo, Egypt",Cairo,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
Reporting Developer- Power BI,Egabi FSI  -,"Sheraton, Cairo, Egypt",Cairo,Experienced,3 - 8 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
AI Engineer,ProVision Group -,"Maadi, Cairo, Egypt",Cairo,Experienced,2 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
DevOps Engineer,WUZZUF -,"Maadi, Cairo, Egypt",Cairo,Experienced,2 - 4 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
"Senior Mechanical Design Engineer ""HVAC & Firefighting And Plumbing""""",Q Design -,"Maadi, Cairo, Egypt",Cairo,Experienced,8 - 13 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
PHP Developer (Phalcon Framework),Bright Creations -,"Smart Village, Giza, Egypt",Giza,Experienced,4+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
DAZU - Python Developer (FinTech),Bright Creations -,"Smart Village, Giza, Egypt",Giza,Experienced,2+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
Backend Developer (Laravel),Bright Creations -,"Smart Village, Giza, Egypt",Giza,Experienced,2+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
Chatbot Developer,MOBILY INFOTECH LTD INDIA -,"New Cairo, Cairo, Egypt",Cairo,Experienced,5 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
Shopify Developer,Mojaa -,"New Cairo, Cairo, Egypt",Cairo,Experienced,5 - 10 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
Senior IT Administrator,Arabian Vision -,"Alexandria, Egypt",Egypt,Experienced,4 - 6 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
AI Researcher / AI Engineer,Arabian Data -,"Nasr City, Cairo, Egypt",Cairo,Student,1+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
IT Specialist,Egyptian German for Concrete Technology | Ha-Be Egypt SAE -,"Badr City, Cairo, Egypt",Cairo,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Science', 'Design', 'Design Patterns', 'Cross-platform', 'OOP', 'Software Architectures', 'Software Development', 'flutter']"
Business Analyst - Software,Osolutions -,"Nasr City, Cairo, Egypt",Cairo,Experienced,2 - 4 Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
Junior R&D Specialist,MY WAY -,"Obour City, Cairo, Egypt",Cairo,Entry Level,0 - 3 Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
Senior Business Analyst,Youxel -,"Cairo, Egypt",Egypt,Experienced,2+ Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
Senior Laravel PHP Developer,Confidential -,"Dokki, Giza, Egypt",Giza,Experienced,7 - 20 Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
Senior Backend Developer,Confidential -,"Maadi, Cairo, Egypt",Cairo,Experienced,3+ Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
Front End Developer,nichepharma -,"Sheikh Zayed, Giza, Egypt",Giza,Student,0 - 1 Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
HSE Specialist,Dorra Group -,"Sheikh Zayed, Giza, Egypt",Giza,Entry Level,Missing,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
Dispensing Specialist - Pharmaceutical,APEX Pharma -,"Badr City, Cairo, Egypt",Cairo,Experienced,2 - 4 Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
Planning Supervisor,Confidential -,"New Cairo, Cairo, Egypt",Cairo,Manager,5 - 8 Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
Technical Support / Application Support Engineer,eVision -,"New Cairo, Cairo, Egypt",Cairo,Entry Level,0 - 2 Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
Software Development Manager,Confidential -,"6th of October, Giza, Egypt",Giza,Manager,10+ Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
PHP Developer,ysolution -,"New Damietta, Damietta, Egypt",Damietta,Experienced,3+ Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
Technical Office Engineer,ataya -,"Nasr City, Cairo, Egypt",Cairo,Experienced,3 - 5 Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
HSE Specialist,Rameda -,"6th of October, Giza, Egypt",Giza,Experienced,1 - 2 Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
R D Chemist,O’dassia -,"Meknes, Morocco",Morocco,Experienced,3 - 10 Yrs of Exp,"['Business Development', 'Analyst/Research', 'Analysis', 'Business Analysis', 'Communication skills', 'Computer Science', 'technical', 'Technology', 'Communication', 'Applications']"
IT Supervisor (System & Network),Al Watania Poultry  -,"Smart Village, Giza, Egypt",Giza,Experienced,6 - 9 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
Junior Power BI Specialist,3D Diagnostix -,"Maadi, Cairo, Egypt",Cairo,Entry Level,1 - 1 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
IT Manager,Confidential -,"6th of October, Giza, Egypt",Giza,Manager,7+ Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
Senior IT Executive,VFS Global Egypt -,"Cairo, Egypt",Egypt,Experienced,4 - 6 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
R D Chemist,Orient -,"Shubra, Cairo, Egypt",Cairo,Experienced,1 - 2 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
Product Specialist Cairo,Surgitech  -,"Nasr City, Cairo, Egypt",Cairo,Entry Level,1 - 2 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
"Full Stack C#, .NET Web Developer",B&F Soft -,"Mohandessin, Giza, Egypt",Giza,Experienced,2 - 5 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
IOS Developer (Mid-Level),Afaqy -,"Maadi, Cairo, Egypt",Cairo,Experienced,3 - 4 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
Oracle Developer,Blue Bell   -,"Bourj Alarab, Alexandria, Egypt",Alexandria,Experienced,2 - 5 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
Web Developer - Backend (Laravel),Cairo Photography Club -,"Maadi, Cairo, Egypt",Cairo,Experienced,2 - 4 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
Chemist - Fresh Graduate ( Sadat City ),Uniboard  -,"Alsadat City, Monufya, Egypt",Monufya,Entry Level,0 - 1 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
Actuarial Analyst – Reinsurance,Chubb life Insurance -,"Katameya, Cairo, Egypt",Cairo,Entry Level,1 - 2 Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
Automation Engineer Section Head,El Banna Group Company -,"Alsadat City, Monufya, Egypt",Monufya,Senior Management,10+ Yrs of Exp,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
SAP Senior Data Engineer,Envision Employment Solutions -,"Dubai, United Arab Emirates",United Arab Emirates,Experienced,Computer Science,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
Data Protection Specialist,Saudi Air Navigation Services -,"Riyadh, Saudi Arabia",Saudi Arabia,Entry Level,Data Entry,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology', 'CCNA', 'CCNP', 'Computer Science', 'firewalls', 'Information Technology (IT)', 'Office 365', 'MCSE']"
Network Data Analyst,Ziff Davis -,"Riyadh, Saudi Arabia",Saudi Arabia,Experienced,2 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
ERP Functional Consultant – Finance,Dynamicslink -,"Nasr City, Cairo, Egypt",Cairo,Experienced,5 - 8 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
Chemical Engineer,Lufian -,"10th of Ramadan City, Sharqia, Egypt",Sharqia,Experienced,0 - 5 Yrs of Exp,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Data Analysis', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Microsoft Office', 'SQL', 'Microsoft Excel']"
